Title,Type,Service,Genre,IMDB,ReelGood,Released Year,Seasons
How to Get Away with Murder,tv,Hulu,Drama,8.1,85.0,2014,6.0
How to Get Away with Murder,tv,Hulu,Thriller,8.1,85.0,2014,6.0
Friday Night Lights,tv,Hulu,Drama,8.6,84.0,2006,5.0
Friday Night Lights,tv,Hulu,Sport,8.6,84.0,2006,5.0
Marvel's Jessica Jones,tv,Netflix,Crime,7.9,85.0,2015,3.0
Marvel's Jessica Jones,tv,Netflix,Drama,7.9,85.0,2015,3.0
Marvel's Jessica Jones,tv,Netflix,Action & Adventure,7.9,85.0,2015,3.0
Unbelievable,tv,Netflix,Crime,8.4,85.0,2019,
Unbelievable,tv,Netflix,Drama,8.4,85.0,2019,
Normal People,tv,Hulu,Romance,8.5,85.0,2020,1.0
Normal People,tv,Hulu,Drama,8.5,85.0,2020,1.0
Normal People,tv,Hulu,Comedy,8.5,85.0,2020,1.0
Pretty Little Liars,tv,Hulu,Drama,7.4,84.0,2010,7.0
Pretty Little Liars,tv,Hulu,Thriller,7.4,84.0,2010,7.0
Pretty Little Liars,tv,Hulu,Mystery,7.4,84.0,2010,7.0
Once Upon a Time,tv,Disney+,Drama,7.7,86.0,2011,8.0
Once Upon a Time,tv,Disney+,Action & Adventure,7.7,86.0,2011,8.0
Once Upon a Time,tv,Disney+,Fantasy,7.7,86.0,2011,8.0
Death Note,tv,Netflix,Crime,9.0,84.0,2006,2.0
Death Note,tv,Netflix,Anime,9.0,84.0,2006,2.0
Death Note,tv,Netflix,Animation,9.0,84.0,2006,2.0
Death Note,tv,Hulu,Crime,9.0,84.0,2006,2.0
Death Note,tv,Hulu,Anime,9.0,84.0,2006,2.0
Death Note,tv,Hulu,Animation,9.0,84.0,2006,2.0
Legion,tv,Hulu,Drama,8.3,85.0,2017,3.0
Legion,tv,Hulu,Action & Adventure,8.3,85.0,2017,3.0
Legion,tv,Hulu,Science-Fiction,8.3,85.0,2017,3.0
30 Rock,tv,Hulu,Comedy,8.2,84.0,2006,7.0
Marvel's The Punisher,tv,Netflix,Crime,8.5,84.0,2017,2.0
Marvel's The Punisher,tv,Netflix,Drama,8.5,84.0,2017,2.0
Marvel's The Punisher,tv,Netflix,Action & Adventure,8.5,84.0,2017,2.0
Bodyguard,tv,Netflix,Crime,8.1,84.0,2018,2.0
Bodyguard,tv,Netflix,Drama,8.1,84.0,2018,2.0
Bodyguard,tv,Netflix,Thriller,8.1,84.0,2018,2.0
The Shield,tv,Hulu,Crime,8.7,84.0,2002,7.0
The Shield,tv,Hulu,Drama,8.7,84.0,2002,7.0
The Shield,tv,Hulu,Action & Adventure,8.7,84.0,2002,7.0
The Shield,tv,Hulu,Thriller,8.7,84.0,2002,7.0
Ash vs Evil Dead,tv,Netflix,Action & Adventure,8.4,83.0,2015,3.0
Ash vs Evil Dead,tv,Netflix,Comedy,8.4,83.0,2015,3.0
Ash vs Evil Dead,tv,Netflix,Horror,8.4,83.0,2015,3.0
Mr. Bean,tv,Hulu,Family,8.5,84.0,1990,
Mr. Bean,tv,Hulu,Comedy,8.5,84.0,1990,
Master of None,tv,Netflix,Romance,8.3,84.0,2015,2.0
Master of None,tv,Netflix,Drama,8.3,84.0,2015,2.0
Master of None,tv,Netflix,Comedy,8.3,84.0,2015,2.0
YOU,tv,Netflix,Crime,7.8,84.0,2018,3.0
YOU,tv,Netflix,Romance,7.8,84.0,2018,3.0
YOU,tv,Netflix,Drama,7.8,84.0,2018,3.0
